"Niveau 1","Variantes ( FR) ","Exemples","EP TOSBR ( ENG)","EP TOSBR ( FR)","PRIVACY ICONS"
"1. Communication à des tiers ",,,,,
,"1.0 pas de communication à des tiers ",,"won't share you data with third parties","Aucune communication des données personnelles aux tiers ",
,"1.1 communication aux autorités sur la base des obligations légales","WhatApp, Viber ou Canal + ","won't share information to a requesting authority without a legal basis",,
,"1.2 collecte opt-in pour sollicitation commerciale sauf pour produits et services équivalents","Vente privée, Deezer, Groupon, Blablacar, Adopte un mec ",,,
,"1.3  communication  à des tiers   sous forme agrégées et anonymisées  ","Trip Advisor et 8 Tracks ","enables third-party advertisers to target you by default ","Transmission à des tiers de données anonymisées "," Third-party use/ AD networks"
,"1.4 communication à des tiers en fonction des paramétrages du compte décidés par l'utilisateur","Twitter, Viadeo, Skype",,," Third-party use"
,"1.5 communication à des tiers prédéterminés et énumérés",,"can share your personal information with other parties ",," Third-party use"
,"1.6 communication à des tiers  avec restrictions liées aux destinataires ( fournisseurs et filiales)  ","Airbnb, Microsoft, Rue du Commerce, Go Voyage ou Uber ","can share your personal information with other parties ",," Third-party use"
,"1.7 communication à des tiers avec restrictions liés  aux secteurs d'activité  ","Trip Advisor, Allo Resto ","enables third-party advertisers to target you by default / can share your personal information with other parties ",," Third-party use/ AD networks ( si AD)"
,"1.8 Communication des DP à des tiers pour marketing direct","Apple, Couchsurfing, Kayak, Instagram,  ","reserve the right to disclose personal info, no notification",," Third-party use/ AD networks"
"2.Viralité des conditions de réutilisation des données personnelles par les tiers ",,,,,
,"2.0 pas de communication à des tiers ",,"won't share you data with third parties",,
,"2.1 Engagement sur la viralité des conditions ","TomTom , Amazon , Google, PayPal, Twitter et Skype ",,,"Third-party use "
,"2.2 Engagement sur la viralité des conditions uniquement pour les prestataires de services ","Groupon, Canal +, Rue du Commerce",,,"Third-party use "
,"2.3 pas d'engagement sur la viralité des conditions , soumission à des obligations contractuelles spécifiques","AirbnB , Booking, Instagram, Blizzard, Spotify ( Facebook), ",,,"Third-party use "
,"2.4 pas d'engagement sur la viralité","Apple ","may transfer and process your data to somewhere outside of your country ",,"Third-party use "
"3. Information préalable pour la communication des données personnelles à des tiers en cas de fusion / absorption",,,,,
,"3.0 collecte Opt-In préalable à la transmission en cas de fusion/ acquisition",,,,
,"3.1 information préalable  avant  la fusion/ acquisition ","Airbnb, eBay, HomeBubble ","You can give comments before changes ",,
,"3.2 information préalable  avec possibilité Opt-Out avant et après  la fusion/ acquisition ","Medium et Dropbox , MyKolab.com","4 weeks to review changes and possibility to negotiate ",,
,"3.3 Pas d’information préalable transmission en cas de fusion mais exigence respect politique confidentialité ","Viber "," may sell user data as part of a business transfer + Personal information can be disclosed in case of business transfer or insolvency + does not notify users before being involved in a merger, sale, or acquisition ",,
,"3.4 Pas d’information préalable transmission en cas de fusion ","Apple,  de Vine, de WhatsApp, d’AlloCiné, d’Allo Resto, de Tom Tom, de Twitter, de Snapchat, de Linkedin, de Tumblr, de Samsung, de Steam , de Trip Advisor,  de Instagram, de Blizzard, de 8Tracks, de VSCO, de Facebook, de Skype, de Paypal, de Pinterest, de Netflix, de Kayak "," may sell user data as part of a business transfer +  Terms may be changed any time at their discretion, without notice to the user + Personal information can be disclosed in case of business transfer or insolvency + does not notify users before being involved in a merger, sale, or acquisition ",,
"4. Finalité de la réutilisation des données personnelles collectées ",,,,,
,"4.0 Pour finalité statistique et la facturation",,"Only for personal and non-commercial use ",,
,"4.1 Pour fournir le service et les offres adaptées ","Meetic, Netflix, Uber","Your personal information is used for limited purposes ",,"Site Use"
,"4.2 Pour de la publicité ciblée ",,,,"AD networks "
,"4.3 Pour les collecter, les utiliser, les agréger, les transférer, les divulguer à quelque fin que se soit","Apple ",,,"Transaction"
"5. Agrégation des données ",,,,,
,"5.0 Pas d’agrégation",,,,
,"5.1 agrégation avec des données non personnelles",,,,
,"5.2 Agrégation avec des données personnelles disponibles sur les comptes sociaux de l'utilisateur ","Vine, Medium, Groupon, , Couchsurfing, Booking, eBay, Asos, TripAdvisor, Spotify, Soundhound,  Allo Resto ",,,
,"5.3 Agrégation avec l'ensemble des données personnelles disponibles sur l'utilisateur ",,,,
,"5.4 Revente des données agrégées et anonymisées  à des tiers ","Airbnb",,,
,,,,,
"6. Données d’identité ",,,,,
,"6.0 Utilisation d’un pseudo autorisé ",,"Pseudonym allowed",,
,"6.1 Identification obligatoire pour la fourniture du service ( base légale) ",,"No pseudonym allowed + You must provide your legal name upon registration ",,
,"6.2 Identification obligatoire pour la fourniture du service ( hors base légale) ",,"No pseudonym allowed ",,
"7. Données d'identification ",,,,,
,"7.0 Uniquement pour l’accès aux services ",,,,
,"7.1 Utilisation de l'identifiant d'un tiers service et échange de données en fonction du paramétrage ",,"This service tracks you on other websites ",,
,"7.2 Fourniture d'un identifiant et récupération des données disponibles sur les services utilisés  ","Facebook, Google +, Twitter","automatically shares your data with many other services",,
"8. Informations publiques / données de profil ",,,,,
," 8.0 Données non accessibles aux autres utilisateurs ","Mappy, ",,,
,"8.1 Uniquement accessible aux autres utilisateurs ","Apple , Allo resto, Snapchat, eBay, Paypal",,,
,"8.2 Mise à disposition des partenaires pour référencement et agrégation (avec opt-in) ","Airbnb , Linkedin, Booking, Dropbox",,,
,"8.3 Mise à disposition publique pour référencement et agrégation ( avec opt-out) ","Yahoo, Allociné, Tumblr, Medium, Spotify, Facebook, Viadeo","automatically shares your data with many other services",,
"9. Collecte données de localisation ",,,,,
,"9.0 Pas de collecte de données de localisation ",,,,
,"9.1 Uniquement pour et pendant la fourniture de service ","Orange",,,
,"9.2 Mise à disposition des partenaires pour référencement et agrégation (avec opt-in) ","Google, Apple, Twitter",,,
,"9.3 Publication automatique / poursuite de la collecte dans le temps après l’activation / concession de licence d’exploitation perpétuelle ","Spyce , Foursquare",,,
"10. Collecte données du terminal ",,,,,
,"10.0  Aucune collecte ",,,,
,"10.1 Collecte des données de profilage et des données techniques pour la fourniture du service ","Amazon, DailyMotion, Vine, Allo Resto, Twitter",,,
,"10.2 Collecte des données de profilage et des données personnelles pour la fourniture du service ","Apple Genius, Kayak, Hubic , Snapchat, Facebook, Google, Paypal",,,
"11. Cookies ",,,,,
,"11.0 Opt-in pour  le dépôt de cookies ",,"does not require cookies to function / No tracking",,
,"11.1  Opt-out : Droit pour les internautes de refuser les cookies ","Vine,  Hubic, LastPass, BlaBlacar","uses temporary session cookies ",,"tracking "
,"11.2 Opt-out : Droit pour les internautes de refuser les cookies mais fonctionnement dégradé du service ","Twitter, DailyMotion, VentePrivee, TomTom, Deezer, Linkedin, HomeBubble, Rue du Commerce, Booking, eBay, TripAdvisor, Uber, Viber, Spotify, Viadeo, Apple, Boursorama","uses temporary session cookies ",,"tracking "
,"11.3 Utilisation obligatoire et possible association avec des données personnelles pour permettre le fonctionnement du service ","Airbnb , Whatsapp, AlloCiné, Tumblr, Medium, Google","Non-transparent use of cookies and third party ads",,"tracking "
"12. Pixels espion ",,,,,
,"12.0 Pas d’utilisation ",,,,
,"12.1 Pour connaître le taux d’ouverture des courriels ou pour finalités légitimes explicitement déterminées ","Skype, Amazon, Groupon, Couchsurfing, Blablacar, Booking, Spotify, Facebook, Apple, Google, Paypal",,,"tracking "
,"12.2 Implémentation sans transparence ni précision sur les finalités ","Airbnb , Snapchat, Steam, Viber, Kayak, Instagram","Non-transparent use of cookies and third party ads ",,"tracking "
"13. Conservation des données ",,,,,
,"13.0 Pas de conservation des données ",,,,
,"13.1 Seuls les journaux nécessaires et les informations de débogage sont conservés",,"Only the necessary logs and debug information are kept ",,
,"13.2 peut conserver vos données après la désactivation à des fins commerciales légitimes",,"may retain your data after deactivation for legitimate business purposes ",,"Retention Period "
,"13.3 vous accordez une licence perpétuelle sur vos données collectées ",,"You grant perpetual license to anything you publish ",,"Retention Period "
"14. Délai de conservation des données et d'anonymisation ",,,,,
,"14.0 Pas de conservation des données ",,,,
,"14.1 Conservation des données 3 mois après la suppression du compte ",,,,
,"14.2 Conservation des données plus de 6 mois après la suppression du compte ","DailyMotion ( 1an), Twitter ( 18 mois), Facebook, Kayak, Netflik, Instagram, ",,,
"15. Suppression du compte ",,,,,
,"15.0 Suppression du compte à la demande",,," arrêt à la demande ",
,"15.1 Menu de suppression caché dans la politique de confidentialité",,,"Menu de suppression caché dans la politique de confidentialité ",
,"15.2 L'opérateur peut supprimer le compte à sa discrétion ",,"may close your account at their sole discretion ",,
,"15.3 Vous ne pouvez pas supprimer votre compte ",,"You cannot delete your account ","Aucune résiliation possible ",
"16.Indications en cas de faille de sécurité notée par le fournisseur de contenus",,,,,
,"16.1 Information de l’utilisateur en cas de faille de sécurité","WhatsApp","warns you if emergency maintenance is happening ",,
,"16.2 Pas d’information de l’utilisateur en cas de faille de sécurité ou éxonération de toute responsabilité","eBay, Spotify, Soundhound, Snapchat, Apple",,,
"17. Transfert des DP sous loi américaine ",,,,,
,"17.0 Pas de transfert extra-territorial","Blablacar",,,
,"17.1 Application des principes de Safe Harbor","Couchsurfing, Valve, eBay, Apple, Kayak, Google, Uber",,"Utilisation des données aux États-Unis ",
,"17.2 Pas d'adhésion aux EU Safe Harbor","Trip Advisor , Snapchat, ",,"Utilisation des données aux États-Unis ",
"18. Modification des CGU et de la politique de confidentialité ",,,,,
,"18.0 Consentement préalable des personnes concernées","HomeBubble",,,
,"18.1 Engagement de ne pas baisser le niveau de confidentialité de manière substantielle sans l'information  préalable des personnes concernées ","Amazon,  Snapchat, TrpAdvisor, Uber",," Communication des principaux changements de CGU ",
,"18.2 Changement régulier sans information préalable de l'utilisateur ","Tumblr, Viber, Sounhound, Spotify, ","Terms may be changed any time at their discretion, without notice to the user ","Modifications à tout moment des CGU ",
"19. Droit applicable/ recours ",,,,,"Law enforcement "
,"19.1 application du droit français / législation CNIL",,,"Juridiction française ",
,"19.2 application du droit européen ",,,,
,"19.3 application du droit californien ",,,"Droit californien applicable, sous réserve des règles de conflit de lois ",
,"19.4 renonciation au procès et aux recours collectifs. Convention d'arbitrage. Application du droit américain ",,"Lawsuit and class action waiver. Arbitration agreement. Survives termination of ToU agreemen",,
,"19.4 renonciation au procès et aux recours collectifs. Application du droit américain ",,"Lawsuit and class action waiver. Arbitration for dispute resolution in the United States",,
,"19.5 exonération totale de responsabilité",,"You defend, indemnify, and hold app.net harmless in case of a claim related to your use of the service","Clause limitative de responsabilité maximale ",
"20. portabilité des données ",,,,,
,"20.1 portabilité des données par API Personal Data avec collecte des CGR associées",,"You can get your data back ",,
,"20.2 portabilité des données par stockage",,"You can get your data back ",,
,"20.3 pas de portabilité des données",,,,
,"20.4 pas de droit d'accès ",,,,
